A: 1939792 bytes in 612 chunks | B: 1942460 bytes in 630 chunks
A bytes present in B: 1232143 (63.52%)
B bytes present in A: 1232143 (63.43%)

B chunks NOT found in A (genuinely new/changed content):
  offset 0x018EAB2-0x018EDAD     763 bytes
  offset 0x018EDAD-0x018F42E    1665 bytes
  offset 0x018F42E-0x018F735     775 bytes
  offset 0x018F735-0x01900BB    2438 bytes
  offset 0x01900BB-0x01903F8     829 bytes
  offset 0x01903F8-0x0191646    4686 bytes
  offset 0x0191646-0x0191884     574 bytes
  offset 0x0191884-0x0191BAD     809 bytes
  offset 0x0191BAD-0x0191D24     375 bytes
  offset 0x0191D24-0x0192B2A    3590 bytes
  offset 0x0192B2A-0x019350D    2531 bytes
  offset 0x019350D-0x0193AF0    1507 bytes
  offset 0x0193AF0-0x0193DB7     711 bytes
  offset 0x0193DB7-0x01957BC    6661 bytes
  offset 0x01957BC-0x01964AE    3314 bytes
  offset 0x01964AE-0x0196E33    2437 bytes
  offset 0x0196E33-0x01978C9    2710 bytes
  offset 0x01978C9-0x0197AE8     543 bytes
  offset 0x0197AE8-0x0198007    1311 bytes
  offset 0x0198007-0x0198489    1154 bytes
  offset 0x0198489-0x01988F7    1134 bytes
  offset 0x01988F7-0x019934B    2644 bytes
  offset 0x019934B-0x019A5D9    4750 bytes
  offset 0x019A5D9-0x019B1C8    3055 bytes
  offset 0x019B1C8-0x019BAAD    2277 bytes
  offset 0x019BAAD-0x019C7CE    3361 bytes
  offset 0x019C7CE-0x019CE09    1595 bytes
  offset 0x019CE09-0x019DBC6    3517 bytes
  offset 0x019DBC6-0x019EBA5    4063 bytes
  offset 0x019EBA5-0x019F705    2912 bytes
  offset 0x019F705-0x019FB3E    1081 bytes
  offset 0x019FB3E-0x019FE74     822 bytes
  offset 0x019FE74-0x01A0E37    4035 bytes
  offset 0x01A0E37-0x01A0F4B     276 bytes
  offset 0x01A0F4B-0x01A1D0A    3519 bytes
  offset 0x01A1D0A-0x01A2009     767 bytes
  offset 0x01A2261-0x01A25A4     835 bytes
  offset 0x01A25A4-0x01A329D    3321 bytes
  offset 0x01A329D-0x01A5986    9961 bytes
  offset 0x01A5986-0x01A6636    3248 bytes
  offset 0x01A6636-0x01A738B    3413 bytes
  offset 0x01A738B-0x01A7AAD    1826 bytes
  offset 0x01A7AAD-0x01A817D    1744 bytes
  offset 0x01A817D-0x01A8F2E    3505 bytes
  offset 0x01A8F2E-0x01A9E9E    3952 bytes
  offset 0x01A9E9E-0x01AA670    2002 bytes
  offset 0x01AA670-0x01AAC84    1556 bytes
  offset 0x01AAC84-0x01AB843    3007 bytes
  offset 0x01AB843-0x01ABF85    1858 bytes
  offset 0x01ABF85-0x01ACF5A    4053 bytes
  offset 0x01ACF5A-0x01AD77A    2080 bytes
  offset 0x01AD77A-0x01ADD74    1530 bytes
  offset 0x01ADD74-0x01AE40D    1689 bytes
  offset 0x01AE40D-0x01AE5F3     486 bytes
  offset 0x01AE5F3-0x01AE8D6     739 bytes
  offset 0x01AE8D6-0x01AF3D1    2811 bytes
  offset 0x01AF3D1-0x01B0914    5443 bytes
  offset 0x01B0914-0x01B1A88    4468 bytes
  offset 0x01B1A88-0x01B209A    1554 bytes
  offset 0x01B209A-0x01B21B0     278 bytes
  offset 0x01B21B0-0x01B243C     652 bytes
  offset 0x01B243C-0x01B265E     546 bytes
  offset 0x01B265E-0x01B2B52    1268 bytes
  offset 0x01B2B52-0x01B401D    5323 bytes
  offset 0x01B401D-0x01B456E    1361 bytes
  offset 0x01B456E-0x01B53BC    3662 bytes
  offset 0x01B53BC-0x01B6E79    6845 bytes
  offset 0x01B6E79-0x01B7B8F    3350 bytes
  offset 0x01B7B8F-0x01B8711    2946 bytes
  offset 0x01B8711-0x01B8B0A    1017 bytes
  offset 0x01B8B0A-0x01B8CCC     450 bytes
  offset 0x01B8CCC-0x01B9FCF    4867 bytes
  offset 0x01B9FCF-0x01BC60B    9788 bytes
